=== Episode 1 ===
Initial: [  0.   0. -20.]
Goal: [-17.84715925 -11.18560509 -49.12206317]
Positions:
[-13.05879667  -8.88016787 -31.57121763]
[-13.06896794  -8.87750532 -31.66540708]
[-13.12194892  -8.91966271 -31.67352011]
[-13.14789014  -8.98378974 -31.77007014]
[-13.14584022  -9.01597341 -31.79418829]
[-13.18289774  -9.02707072 -31.8788773 ]
[-13.22447458  -9.06733116 -31.94348651]
[-13.25344912  -9.12779159 -31.9648372 ]
[-13.28972944  -9.14358822 -32.03180345]
[-13.29930111  -9.19461161 -32.10432128]
[-13.33668451  -9.19810205 -32.14280897]
[-13.37284336  -9.23270838 -32.22184694]
[-13.40623959  -9.25581123 -32.29536889]
[-13.43203337  -9.25130421 -32.32147883]
[-13.50692199  -9.26470192 -32.40895217]
[-13.50347587  -9.32369142 -32.46218962]
[-13.56031726  -9.32181357 -32.52536327]
[-13.56413906  -9.31892327 -32.59758093]
[-13.61976647  -9.32932782 -32.64595236]
[-13.6772307   -9.36564205 -32.66985128]
[-13.67151401  -9.3495981  -32.74082285]
[-13.7390338   -9.38019537 -32.81311234]
[-13.76300876  -9.37656296 -32.89240696]
[-13.77609537  -9.36023913 -32.95787104]
[-13.81874405  -9.34878738 -33.00284425]
[-13.87142047  -9.37143655 -33.0347247 ]
[-13.9214766   -9.36966574 -33.11760101]
[-13.96468278  -9.35830025 -33.18114262]
[-13.98989943  -9.37766912 -33.22913218]
[-14.02051813  -9.35752403 -33.30177296]
[-14.06944005  -9.36388373 -33.36547419]
[-14.09954988  -9.32004936 -33.41555327]
[-14.14631899  -9.31571387 -33.47392779]
[-14.20127357  -9.31535561 -33.5470922 ]
[-14.24411622  -9.28038257 -33.58176184]
[-14.2803148   -9.27110388 -33.65515728]
[-14.30911521  -9.26540872 -33.71528569]
[-14.35269192  -9.2468323  -33.7941633 ]
[-14.36397241  -9.2777036  -33.8401083 ]
[-14.44559008  -9.23404278 -33.90345638]
[-14.47494123  -9.24802198 -33.96914035]
[-14.52453708  -9.2166015  -34.00429262]
[-14.53796742  -9.18419146 -34.06744708]
[-14.58289219  -9.20176094 -34.17268463]
[-14.61612269  -9.17893586 -34.19377013]
[-14.66090755  -9.14613515 -34.24914123]
[-14.70996959  -9.16264849 -34.3233639 ]
[-14.73804448  -9.1222442  -34.3629114 ]
[-14.75532378  -9.11656394 -34.42292269]
[-14.81506704  -9.14144973 -34.52579266]
[-14.82142269  -9.1184092  -34.57124711]
[-14.851598    -9.10883324 -34.61519922]
[-14.87582931  -9.09902466 -34.69859863]
[-14.93094803  -9.09409316 -34.74296779]
[-14.93509104  -9.12027941 -34.82256728]
[-14.97472882  -9.11431048 -34.8536767 ]
[-15.00792047  -9.13157681 -34.89700096]
[-15.02331205  -9.13616842 -34.97567366]
[-15.04129914  -9.13418747 -35.04722942]
[-15.09476101  -9.17500469 -35.08816573]
[-15.09799427  -9.14863087 -35.16448592]
[-15.11915967  -9.20667254 -35.18644153]
[-15.12863773  -9.2099612  -35.2848457 ]
[-15.1429351   -9.20839746 -35.32369643]
[-15.15980272  -9.25371434 -35.40930598]
[-15.19662011  -9.27893763 -35.42505697]
[-15.181911    -9.28600155 -35.46538423]
[-15.20753808  -9.30364865 -35.52929817]
[-15.19036839  -9.33238483 -35.59534164]
[-15.2204637   -9.32285175 -35.66247582]
[-15.24883285  -9.37321739 -35.68347276]
[-15.28017395  -9.38432326 -35.74714658]
[-15.26834465  -9.41457067 -35.80385487]
[-15.26742612  -9.40623925 -35.82913059]
[-15.2901315   -9.42030018 -35.88978835]
[-15.3365954   -9.4350817  -35.90907911]
[-15.35519331  -9.47123312 -35.97531453]
[-15.40103083  -9.51172147 -36.0115427 ]
[-15.40658974  -9.52341192 -36.11099343]
[-15.46296871  -9.51375865 -36.13701896]
[-15.50037367  -9.55073832 -36.22160533]
[-15.54126015  -9.59969305 -36.28013223]
[-15.55603292  -9.61452173 -36.34256899]
[-15.60818696  -9.60401827 -36.40118778]
[-15.6107566   -9.59114765 -36.40649671]
[-15.65415378  -9.61073459 -36.42452365]
[-15.65888874  -9.62886552 -36.50697228]
[-15.66515044  -9.66534053 -36.52005872]
[-15.69144742  -9.65079536 -36.54259023]
[-15.74026142  -9.69873207 -36.589738  ]
[-15.75993963  -9.73039928 -36.67624879]
[-15.80926775  -9.75034195 -36.74942871]
[-15.83966701  -9.72453389 -36.75988321]
[-15.87005713  -9.76911178 -36.84387733]
[-15.89593386  -9.81761906 -36.87290655]
[-15.91357477  -9.82198028 -36.95479096]
[-15.91070248  -9.85577535 -37.02726592]
[-15.91928102  -9.85971313 -37.05768924]
[-15.97138705  -9.87658494 -37.12813705]
[-15.97203354  -9.93841468 -37.1825558 ]
[-16.01087163  -9.95958424 -37.23852208]
[-16.00734753  -9.97185671 -37.31532155]
[-16.04232506 -10.01942998 -37.36942678]
[-16.03268093 -10.04643523 -37.40781683]
[-16.02780852 -10.05256376 -37.43511063]
[-16.03639234 -10.09544147 -37.49622451]
[-16.05727238 -10.11273285 -37.49065715]
[-16.05988407 -10.10456706 -37.56255795]
[-16.1061731  -10.15061606 -37.64128225]
[-16.14063233 -10.19200764 -37.68154921]
[-16.12724076 -10.22768727 -37.74591671]
[-16.19013962 -10.22404311 -37.80144466]
[-16.21029186 -10.26983828 -37.84402905]
[-16.20977238 -10.28148501 -37.91509849]
[-16.22375511 -10.32179111 -37.95002839]
[-16.25408523 -10.35921837 -38.02821045]
[-16.30075778 -10.40200341 -38.09137537]
[-16.33855216 -10.41474816 -38.1331803 ]
[-16.36369392 -10.41813804 -38.18533942]
[-16.39882499 -10.44789934 -38.26221286]
[-16.44923655 -10.48383254 -38.33000518]
[-16.45931316 -10.47060803 -38.36935734]
[-16.50871072 -10.51801997 -38.42979621]
[-16.52834452 -10.54784544 -38.49814799]
[-16.58405303 -10.54707269 -38.574999  ]
[-16.58492139 -10.53787796 -38.58619597]
[-16.59654214 -10.5264713  -38.62379917]
[-16.65402996 -10.55646419 -38.7048818 ]
[-16.67730888 -10.56944832 -38.77395531]
[-16.70147633 -10.5749602  -38.74823384]
[-16.76458681 -10.57030463 -38.82235544]
[-16.78051523 -10.5853087  -38.90056723]
[-16.8086052  -10.57211451 -38.95282759]
[-16.83270089 -10.56389403 -38.98248586]
[-16.82090815 -10.56524271 -38.99232353]
[-16.88878897 -10.60831273 -39.04330202]
[-16.90039513 -10.5951085  -39.11775687]
[-16.90095524 -10.57745449 -39.14406815]
[-16.93218461 -10.59291545 -39.18668435]
[-16.98050198 -10.56253704 -39.20301209]
[-16.99302096 -10.59105756 -39.27620873]
[-17.05238035 -10.57710078 -39.31986625]
[-17.06597477 -10.56457344 -39.30716905]
[-17.09977249 -10.57517791 -39.38733061]
[-17.09463058 -10.55661541 -39.38722159]
[-17.14088436 -10.58490049 -39.45020735]
[-17.1776857  -10.59219373 -39.46683078]
[-17.19205791 -10.5574912  -39.50093627]
[-17.25210723 -10.55164662 -39.5524295 ]
[-17.28831691 -10.56174538 -39.61550347]
[-17.35153449 -10.52313791 -39.67041485]
[-17.37118936 -10.53062247 -39.7495807 ]
[-17.41228261 -10.52695312 -39.79477298]
[-17.47712665 -10.5174647  -39.85031425]
[-17.52678633 -10.48465604 -39.94310151]
[-17.61021969 -10.50438218 -40.01672136]
[-17.68106608 -10.47528258 -40.06028339]
[-17.70081571 -10.4455799  -40.10615965]
[-17.8025426  -10.42136949 -40.20705904]
[-17.83152407 -10.42402554 -40.26350272]
[-17.92647645 -10.39997996 -40.31998483]
[-17.9814548 -10.3763988 -40.3624299]
[-18.03122455 -10.31397812 -40.43456673]
[-18.10384833 -10.29226754 -40.49102401]
[-18.1748112  -10.29384619 -40.55411024]
[-18.22987601 -10.25962735 -40.63526369]
[-18.26146202 -10.24645707 -40.71638632]
[-18.35312266 -10.18164976 -40.78154836]
[-18.33894292 -10.17108406 -40.78357585]
[-18.37350035 -10.14379695 -40.84186686]
[-18.3984833  -10.14877506 -40.87050783]
[-18.42494941 -10.12340766 -40.91108038]
[-18.48380321 -10.09048991 -40.96942252]
[-18.52375436 -10.02801034 -41.01688901]
[-18.55857521  -9.97463295 -41.07172863]
[-18.57807587  -9.92012879 -41.1382842 ]
[-18.57509078  -9.87876883 -41.19920025]
[-18.61151588  -9.86326711 -41.28533237]
[-18.59655559  -9.81163295 -41.32725042]
[-18.60029399  -9.77402044 -41.40258729]
[-18.60288059  -9.7050923  -41.4296881 ]
[-18.57472605  -9.68345644 -41.49107687]
[-18.55810111  -9.61972417 -41.5910573 ]
[-18.56142367  -9.60523007 -41.61875218]
[-18.5055028   -9.53478976 -41.67974696]
[-18.46760402  -9.49579166 -41.77209815]
[-18.44429915  -9.49074007 -41.77055742]
[-18.4101912   -9.50473287 -41.85110716]
[-18.41353472  -9.46019279 -41.86197616]
[-18.36078911  -9.44755067 -41.93676395]
[-18.31549185  -9.46555556 -42.02529332]
[-18.27330122  -9.4289252  -42.0544803 ]
[-18.22932891  -9.43645218 -42.12229649]
[-18.19318946  -9.46636363 -42.15972052]
[-18.19052368  -9.48226232 -42.22977273]
[-18.1508875   -9.50126953 -42.29928667]
[-18.11126715  -9.48062475 -42.35575603]
[-18.12077157  -9.48859467 -42.41916455]
[-18.0891766   -9.53103897 -42.46082193]
[-18.03780479  -9.54954773 -42.5155565 ]
[-18.01406397  -9.5388666  -42.57391267]
[-17.99494366  -9.56363276 -42.63486585]
[-17.98464532  -9.58938818 -42.70415013]
[-17.98796114  -9.63770987 -42.72137606]
[-17.96530328  -9.68902034 -42.80635535]
[-17.95952252  -9.68271649 -42.86003881]
[-17.96878647  -9.73780501 -42.88598719]
[-17.97439905  -9.73541764 -42.95742158]
[-17.97992754  -9.77434106 -43.02500039]
[-18.00932107  -9.81412339 -43.06083287]
[-18.05532773  -9.86940617 -43.14898021]
[-18.05058553  -9.88904313 -43.20431187]
[-18.08713574  -9.91893748 -43.26760163]
[-18.10703862  -9.93612512 -43.31111316]
[-18.15335879  -9.97192596 -43.39717444]
[-18.15475785  -9.98694082 -43.39883838]
[-18.18724649  -9.99479829 -43.46896014]
[-18.24269743 -10.0070138  -43.49579802]
[-18.27247562 -10.01382829 -43.55416259]
[-18.28006196 -10.03357749 -43.60609707]
[-18.30218773 -10.02988165 -43.6852528 ]
[-18.3233062  -10.04392932 -43.7316545 ]
[-18.30253235 -10.03021808 -43.77269958]
[-18.32350148 -10.05605248 -43.8255084 ]
[-18.31104691 -10.06193491 -43.89164059]
[-18.32172397 -10.03233861 -43.96428353]
[-18.29663205 -10.03135277 -44.01715618]
[-18.28816194 -10.07274012 -44.02071575]
[-18.29238729 -10.02899334 -44.10050418]
[-18.28804116 -10.04159737 -44.15021157]
[-18.27253721 -10.07846985 -44.15601928]
[-18.24956853 -10.08264664 -44.19087016]
[-18.26060721 -10.09581938 -44.26627711]
[-18.24257881 -10.08258735 -44.30929509]
[-18.19111832 -10.06635272 -44.35581933]
[-18.18096074 -10.09131114 -44.41585054]
[-18.14413856 -10.1250411  -44.43470059]
[-18.11524957 -10.1372059  -44.4550682 ]
[-18.10435499 -10.13958705 -44.49896509]
[-18.06288125 -10.17353563 -44.55806957]
[-18.04929969 -10.18403923 -44.59515399]
[-18.01702103 -10.21057549 -44.65209849]
[-17.97078834 -10.2388786  -44.71703156]
[-17.95185873 -10.26194795 -44.77299153]
[-17.92635016 -10.325087   -44.84449477]
[-17.8949464  -10.35135458 -44.87086152]
[-17.81244144 -10.41369387 -44.94644887]
[-17.78018353 -10.46839543 -44.99485204]
[-17.75540896 -10.50850624 -45.07643433]
[-17.73682989 -10.57493982 -45.09219466]
[-17.67853584 -10.6059205  -45.15385697]
[-17.63885134 -10.69801023 -45.24450589]
[-17.615136   -10.73880598 -45.26327562]
[-17.63450795 -10.8408383  -45.32406417]
[-17.63218292 -10.9178849  -45.39772941]
[-17.62193215 -11.01937085 -45.46744842]
[-17.61854925 -11.07367486 -45.52960405]
[-17.64551182 -11.19143095 -45.56976613]
[-17.68078575 -11.26926614 -45.61887646]
[-17.67112843 -11.35618036 -45.67402102]
[-17.7092331  -11.40331041 -45.71101242]
[-17.75975759 -11.47510751 -45.76434028]
[-17.75625617 -11.58509003 -45.79448719]
[-17.79569827 -11.64733132 -45.84736296]
[-17.82014527 -11.68005139 -45.87252733]
[-17.83198823 -11.71849408 -45.91380102]
[-17.86886638 -11.76430166 -45.9358388 ]
[-17.89329447 -11.75849749 -46.02418211]
[-17.91017932 -11.79178957 -46.01920347]
[-17.94682907 -11.78644621 -46.04378234]
[-17.97856524 -11.80919085 -46.11534327]
[-18.0148039  -11.80501196 -46.16431551]
[-18.03003431 -11.83509904 -46.21206996]
=== Episode 2 ===
Initial: [  0.   0. -20.]
Goal: [ 12.48378027  16.93379992 -43.68211053]
Positions:
[  0.05931976   0.06930763 -19.91287183]
[  0.0708204    0.04725143 -19.9847783 ]
[  0.07372447   0.0655764  -20.01968141]
[  0.11304516   0.10279459 -20.07386604]
[  0.13757849   0.1105059  -20.11939608]
[  0.16509287   0.15228528 -20.15438826]
[  0.13859637   0.19034738 -20.15175044]
[  0.19082795   0.24983547 -20.18111512]
[  0.22268617   0.28485962 -20.26060011]
[  0.20350523   0.3168359  -20.27978194]
[  0.21816784   0.31101513 -20.29642423]
[  0.28539301   0.39244429 -20.33969112]
[  0.33358321   0.45584763 -20.35739571]
[  0.33873867   0.47782617 -20.41660792]
[  0.38038762   0.54877728 -20.4591469 ]
[  0.3887601    0.58912747 -20.49302241]
[  0.41361425   0.67460493 -20.54436185]
[  0.45867455   0.74610027 -20.6021655 ]
[  0.479214     0.79686919 -20.61928255]
[  0.5380366    0.88120548 -20.65142405]
[  0.5384009   0.8750306 -20.673955 ]
[  0.57606517   0.93073895 -20.74473733]
[  0.61381763   0.97888733 -20.764319  ]
[  0.64071592   1.03741779 -20.78767088]
[  0.67472054   1.15044969 -20.86695423]
[  0.7327715    1.13636813 -20.88815252]
[  0.74197915   1.20693904 -20.9035969 ]
[  0.78862932   1.28189305 -20.9849878 ]
[  0.82206837   1.32508621 -21.01157414]
[  0.84447763   1.37448089 -21.07908036]
[  0.91073155   1.44798982 -21.13560706]
[  0.94257041   1.51638381 -21.14343611]
[  1.02200262   1.58948349 -21.19261021]
[  1.01632133   1.64889029 -21.27231862]
[  1.1124096    1.73663642 -21.31695698]
[  1.14135178   1.77538254 -21.32137445]
[  1.15207444   1.8062922  -21.39314757]
[  1.20429681   1.86567942 -21.42330481]
[  1.27425492   1.91770903 -21.47525253]
[  1.30257145   1.97114696 -21.51310359]
[  1.35046949   2.02336404 -21.53409548]
[  1.41426938   2.04683445 -21.58259855]
[  1.4389431    2.10866872 -21.61160106]
[  1.5210328    2.15868409 -21.66781182]
[  1.55788724   2.23837787 -21.72119256]
[  1.58870246   2.24443788 -21.76303156]
[  1.65407088   2.28178199 -21.79364417]
[  1.67558955   2.3231774  -21.84865944]
[  1.74209119   2.39844786 -21.87363018]
[  1.80036855   2.43115307 -21.9196933 ]
[  1.83134668   2.4490438  -21.9430229 ]
[  1.8966075    2.4977975  -21.98213211]
[  1.9539434    2.55416592 -22.014625  ]
[  1.98365211   2.57284937 -22.06860393]
[  2.0555283    2.60257119 -22.09952035]
[  2.07884454   2.59283452 -22.11657109]
[  2.13237034   2.61097196 -22.11153248]
[  2.13424586   2.68733595 -22.15262218]
[  2.18979644   2.71474826 -22.19201925]
[  2.24298225   2.71712256 -22.23949173]
[  2.26252598   2.80511103 -22.27386245]
[  2.3502191    2.87662947 -22.34448622]
[  2.35783729   2.94124589 -22.41924703]
[  2.41255395   3.0264954  -22.43826652]
[  2.4345323    3.10658117 -22.52573327]
[  2.45897039   3.15175278 -22.52630556]
[  2.45268705   3.16403443 -22.56337826]
[  2.51003807   3.20340939 -22.55289126]
[  2.48681659   3.23247595 -22.60689733]
[  2.53716656   3.31889931 -22.63745059]
[  2.58545987   3.40763671 -22.70679011]
[  2.57804445   3.45084579 -22.71449624]
[  2.61899743   3.54917238 -22.755266  ]
[  2.66087816   3.61882429 -22.80088738]
[  2.64887732   3.62253486 -22.83939984]
[  2.66286061   3.67890669 -22.82931826]
[  2.72676748   3.75170566 -22.90683923]
[  2.751243     3.81394906 -22.9039451 ]
[  2.7682493    3.81260102 -22.93816683]
[  2.768068     3.85107103 -22.95124738]
[  2.80611443   3.90246446 -22.95251168]
[  2.78734694   3.95308564 -22.98669314]
[  2.8164605    4.03354832 -23.05253081]
[  2.8594886    4.06984372 -23.09459347]
[  2.88289471   4.15019769 -23.09406116]
[  2.89664453   4.16622306 -23.11249401]
[  2.90824041   4.2355478  -23.14910007]
[  2.95551179   4.3214758  -23.20317582]
