=== Episode 1 ===
Initial: [  0.   0. -20.]
Goal: [-17.84715925 -11.18560509 -49.12206317]
Positions:
[  0.06972387   0.06320564 -19.92193471]
[ -4.30505267  -3.28603584 -30.7028925 ]
[ -4.33826634  -3.32784067 -30.75278492]
[ -4.36875491  -3.31854745 -30.83909149]
[ -4.436507    -3.30517561 -30.87603977]
[ -4.43597744  -3.28716826 -30.93961765]
[ -4.51761039  -3.28544885 -30.98731572]
[ -4.55461988  -3.27715908 -31.06510657]
[ -4.57349697  -3.27737738 -31.14522438]
[ -4.61549183  -3.27478302 -31.19591488]
[ -4.64111586  -3.24454783 -31.25066567]
[ -4.67618725  -3.24794516 -31.28517903]
[ -4.68294516  -3.21851585 -31.37024704]
[ -4.70043404  -3.23863336 -31.4100336 ]
[ -4.75744628  -3.20474649 -31.47725895]
[ -4.75960728  -3.17997527 -31.54690672]
[ -4.77850976  -3.19555129 -31.62410618]
[ -4.82324608  -3.13461811 -31.65322865]
[ -4.81949925  -3.16070684 -31.73598407]
[ -4.86743349  -3.10888443 -31.79599581]
[ -4.87339449  -3.13049158 -31.8245103 ]
[ -4.8749354   -3.1216399  -31.91021799]
[ -4.90214226  -3.06117561 -31.97794128]
[ -4.8911839   -3.06598356 -32.02993046]
[ -4.92077721  -3.03309271 -32.07631592]
[ -4.91542286  -3.03158049 -32.12898727]
[ -4.92266805  -3.03530057 -32.21382471]
[ -4.94691663  -2.99869518 -32.2588201 ]
[ -4.95943255  -2.99994411 -32.30696144]
[ -4.97432694  -2.96221335 -32.39306621]
[ -4.95696797  -2.98294266 -32.461425  ]
[ -4.98139635  -2.95395078 -32.50666899]
[ -4.97665806  -2.92554494 -32.56655654]
[ -4.99165049  -2.90028045 -32.61556021]
[ -5.00310512  -2.89191191 -32.66644197]
[ -4.99571409  -2.900082   -32.72888941]
[ -5.00723339  -2.87508113 -32.77534774]
[ -5.01723135  -2.90001408 -32.8389474 ]
[ -5.01554418  -2.84902385 -32.92159176]
[ -5.01021068  -2.86792024 -32.95409417]
[ -5.06038441  -2.86303878 -33.04945664]
[ -5.07425879  -2.85099432 -33.11119295]
[ -5.120344    -2.82231314 -33.14175314]
[ -5.19464147  -2.83349364 -33.2151878 ]
[ -5.22428419  -2.80447781 -33.27467796]
[ -5.29914331  -2.81181944 -33.29186506]
[ -5.35334966  -2.81305834 -33.37999313]
[ -5.42292176  -2.79809062 -33.40617136]
[ -5.46704085  -2.82116657 -33.46198066]
[ -5.56193155  -2.8079988  -33.5236482 ]
[ -5.632685    -2.80228623 -33.58507667]
[ -5.68695317  -2.81004898 -33.62561169]
[ -5.73320679  -2.82018429 -33.70605617]
[ -5.80798827  -2.79316466 -33.74406748]
[ -5.86942175  -2.80216739 -33.82844574]
[ -5.92338282  -2.7865909  -33.85982054]
[ -6.03346584  -2.79630809 -33.96028017]
[ -6.06694709  -2.75295872 -34.00181206]
[ -6.15775705  -2.7486259  -34.03725807]
[ -6.20157149  -2.7328037  -34.12916513]
[ -6.26465642  -2.75527811 -34.16056532]
[ -6.33245758  -2.70697964 -34.22347541]
[ -6.3518305   -2.70964076 -34.31000206]
[ -6.4139955   -2.69502414 -34.34378095]
[ -6.48119179  -2.69406813 -34.43245897]
[ -6.53795569  -2.64419649 -34.47685209]
[ -6.56247387  -2.65780062 -34.53917471]
[ -6.63123618  -2.59537601 -34.59426907]
[ -6.65703503  -2.58054044 -34.65903985]
[ -6.70468302  -2.59738204 -34.71345936]
[ -6.75034251  -2.53101382 -34.76229827]
[ -6.80699789  -2.52997786 -34.79140126]
[ -6.84316471  -2.50320278 -34.87463595]
[ -6.83317451  -2.47421078 -34.92186925]
[ -6.88335824  -2.47976774 -34.96767113]
[ -6.91052418  -2.43834527 -35.05652998]
[ -6.94647963  -2.41859028 -35.1121304 ]
[ -6.95441931  -2.41087577 -35.14766676]
[ -6.98875817  -2.38843017 -35.20305327]
[ -7.02835729  -2.32079182 -35.2937763 ]
[ -7.05968636  -2.32600824 -35.32563195]
[ -7.08112373  -2.29768133 -35.40843834]
[ -7.09162195  -2.24105381 -35.45041992]
[ -7.12265361  -2.2109292  -35.50545349]
[ -7.1011975   -2.18350838 -35.57352773]
[ -7.14789322  -2.16385629 -35.64063051]
[ -7.13366792  -2.13539554 -35.66366479]
[ -7.16692052  -2.1133304  -35.75520726]
[ -7.19970341  -2.07421031 -35.77159259]
[ -7.18981082  -2.03884257 -35.82835543]
[ -7.20353382  -2.02217028 -35.92612706]
[ -7.20914828  -1.97302853 -35.94845468]
[ -7.22914524  -1.94389047 -36.00056061]
[ -7.21167016  -1.9542347  -36.09027076]
[ -7.23414336  -1.8824694  -36.1450477 ]
[ -7.23628682  -1.88864827 -36.17701384]
[ -7.21419831  -1.84187331 -36.25671366]
[ -7.23129344  -1.81963549 -36.32383929]
[ -7.19054962  -1.81471733 -36.34455513]
[ -7.18275438  -1.77178506 -36.43601623]
[ -7.17414158  -1.74536111 -36.47834783]
[ -7.18401082  -1.70955944 -36.55256834]
[ -7.16978211  -1.71285675 -36.58691223]
[ -7.19441452  -1.68678044 -36.63808581]
[ -7.15087592  -1.66130558 -36.68910994]
[ -7.15968526  -1.64987681 -36.74728775]
[ -7.15456519  -1.59878085 -36.82724127]
[ -7.11339536  -1.58811754 -36.88633085]
[ -7.12068725  -1.59060422 -36.92566224]
[ -7.09663201  -1.53676308 -36.97584088]
[ -7.08663321  -1.55753641 -37.06613483]
[ -7.0619884   -1.50177521 -37.10981967]
[ -7.04616021  -1.52630965 -37.15555585]
[ -7.05709295  -1.49024216 -37.24412013]
[ -7.00976635  -1.49140209 -37.26132996]
[ -7.0180236   -1.49091945 -37.33227445]
[ -7.014406    -1.47821423 -37.40594438]
[ -6.97792247  -1.47747928 -37.46664725]
[ -6.98040747  -1.47233026 -37.48719052]
[ -6.93993643  -1.44834133 -37.55782412]
[ -6.9264629   -1.4462739  -37.64268097]
[ -6.89579713  -1.42818719 -37.67388013]
[ -6.89654954  -1.44590925 -37.73353388]
[ -6.86453866  -1.44811906 -37.79344   ]
[ -6.85746307  -1.45203299 -37.85230094]
[ -6.86223918  -1.46180672 -37.92404676]
[ -6.82565553  -1.48091464 -37.98089474]
[ -6.81310768  -1.48035566 -37.99564666]
[ -6.81641449  -1.50624382 -38.08551883]
[ -6.82225526  -1.51151631 -38.1360296 ]
[ -6.80045457  -1.57338154 -38.18817492]
[ -6.8052168   -1.58394356 -38.24693664]
[ -6.76559532  -1.61539015 -38.27613934]
[ -6.76393522  -1.62718598 -38.35231916]
[ -6.74797853  -1.63846717 -38.43099558]
[ -6.69927986  -1.67996738 -38.4746272 ]
[ -6.70543346  -1.71054418 -38.52551922]
[ -6.69242615  -1.70834553 -38.60414245]
[ -6.70929363  -1.7269426  -38.65238826]
[ -6.69516694  -1.75982446 -38.69340063]
[ -6.72268133  -1.80937598 -38.75593503]
[ -6.71244166  -1.82164456 -38.82298277]
[ -6.68355565  -1.86563088 -38.88336721]
[ -6.63853275  -1.89559595 -38.92230898]
[ -6.62980979  -1.93948216 -38.97929616]
[ -6.63752731  -1.96984408 -39.05290322]
[ -6.60416299  -1.98595586 -39.10100916]
[ -6.55942564  -2.04156836 -39.14612384]
[ -6.5379972   -2.05475212 -39.17774161]
[ -6.52282715  -2.12027345 -39.25277499]
[ -6.51115869  -2.18145378 -39.30973559]
[ -6.47729547  -2.22872473 -39.38500479]
[ -6.47632193  -2.25732792 -39.4534025 ]
[ -6.44577808  -2.29882133 -39.48421682]
[ -6.44220862  -2.39131132 -39.54085649]
[ -6.403402    -2.4050513  -39.59719944]
[ -6.41141418  -2.50334012 -39.69396969]
[ -6.42011436  -2.53964737 -39.74153285]
[ -6.38643393  -2.6211494  -39.7767581 ]
[ -6.38184001  -2.65452565 -39.87241351]
[ -6.4005004   -2.72607951 -39.92700577]
[ -6.3639518   -2.80676773 -39.98079142]
[ -6.39440371  -2.87701356 -40.03285993]
[ -6.39465115  -2.91663451 -40.07901745]
[ -6.42752731  -2.95554628 -40.14424146]
[ -6.44524164  -3.05229625 -40.19399449]
[ -6.45393591  -3.07378937 -40.2870136 ]
[ -6.47641312  -3.17143008 -40.3304198 ]
[ -6.45823823  -3.22285439 -40.37206315]
[ -6.49329751  -3.25894166 -40.47226967]
[ -6.51226491  -3.28229038 -40.49057123]
[ -6.55354527  -3.37465225 -40.57088857]
[ -6.55673438  -3.42594925 -40.60187843]
[ -6.57496356  -3.44958418 -40.67697569]
[ -6.63312788  -3.46827034 -40.74710652]
[ -6.62746437  -3.51988079 -40.76236665]
[ -6.67436768  -3.59697011 -40.85825922]
[ -6.71068051  -3.60351979 -40.89264   ]
[ -6.72366746  -3.65485268 -40.9598034 ]
[ -6.7969762   -3.67096131 -41.01966034]
[ -6.81509773  -3.73578245 -41.04084648]
[ -6.87011302  -3.74518177 -41.14118601]
[ -6.88267373  -3.8191797  -41.16012696]
[ -6.92314267  -3.80888618 -41.25755665]
[ -6.99167167  -3.8760692  -41.28864012]
[ -7.03867722  -3.88098751 -41.33996053]
[ -7.05543128  -3.89090072 -41.4335666 ]
[ -7.13823491  -3.94292585 -41.46855235]
[ -7.14337037  -3.93938587 -41.55887216]
[ -7.2008105   -3.96485942 -41.61508654]
[ -7.27158794  -4.00355112 -41.64265036]
[ -7.29823138  -3.9967267  -41.7150192 ]
[ -7.32900063  -4.01347006 -41.78787069]
[ -7.35961714  -4.03836136 -41.83663599]
[ -7.42833505  -4.04584391 -41.8933795 ]
[ -7.46917754  -4.02644589 -41.95344744]
[ -7.51412014  -4.01981619 -42.03855092]
[ -7.55254707  -4.03629774 -42.07347345]
[ -7.56212439  -4.04364089 -42.14205455]
[ -7.60314814  -4.01295173 -42.18306211]
[ -7.64009292  -4.01621257 -42.27533666]
[ -7.68045975  -4.05341955 -42.2986241 ]
[ -7.71456028  -4.03610427 -42.38960433]
[ -7.75445626  -4.04203812 -42.41061531]
[ -7.77078922  -4.00235427 -42.47907696]
[ -7.80543597  -3.99755359 -42.57316682]
[ -7.84519694  -3.99733252 -42.62357655]
[ -7.85682984  -3.98814485 -42.6610415 ]
[ -7.89363974  -3.96555096 -42.72127728]
[ -7.89700676  -3.9747461  -42.80547096]
